game_key,developer_key,allocation_factor,is_primary
517,8434,1.0,1
518,6570,0.333333,1
518,694,0.333333,0
518,2831,0.333333,0
519,5361,1.0,1
520,1286,1.0,1
521,10205,1.0,1
522,4229,1.0,1
523,4088,1.0,1
524,796,1.0,1
525,11187,0.5,1
525,11327,0.5,0
526,5875,1.0,1
527,2670,1.0,1
528,9415,0.5,1
528,9948,0.5,0
529,3646,1.0,1
530,1485,1.0,1
531,236,1.0,1
532,8804,1.0,1
533,12077,1.0,1
534,9165,0.5,1
534,9034,0.5,0
535,3758,1.0,1
536,8482,1.0,1
537,4475,0.5,1
537,3537,0.5,0
538,14,1.0,1
539,11691,1.0,1
540,5689,1.0,1
541,11420,1.0,1
542,6793,1.0,1
543,11067,1.0,1
544,804,1.0,1
545,8086,1.0,1
546,1778,1.0,1
547,3148,0.5,1
547,8903,0.5,0
548,10226,0.5,1
548,3554,0.5,0
549,11166,1.0,1
550,7909,1.0,1
551,1282,1.0,1
552,4654,1.0,1
553,5306,1.0,1
554,6612,1.0,1
555,6341,1.0,1
556,8529,1.0,1
557,9109,1.0,1
558,1849,1.0,1
559,10553,1.0,1
560,1806,1.0,1
561,6506,1.0,1
562,945,1.0,1
563,8335,1.0,1
564,10568,1.0,1
565,12001,1.0,1
566,10281,1.0,1
567,2615,1.0,1
568,7274,1.0,1
569,9162,1.0,1
570,3045,1.0,1
571,8868,1.0,1
572,4062,1.0,1
573,4169,1.0,1
574,497,1.0,1
575,968,1.0,1
576,7135,1.0,1
577,6730,1.0,1
578,3907,1.0,1
579,2676,1.0,1
580,9028,1.0,1
581,7751,1.0,1
582,11780,1.0,1
583,9076,1.0,1
584,4622,1.0,1
585,5061,1.0,1
586,560,1.0,1
587,8705,1.0,1
588,4252,1.0,1
589,3561,1.0,1
590,3613,1.0,1
591,4884,1.0,1
592,3871,1.0,1
593,3419,1.0,1
594,8920,1.0,1
595,4226,1.0,1
596,11572,1.0,1
597,8185,0.5,1
597,4758,0.5,0
598,8658,1.0,1
599,5922,1.0,1
600,6546,1.0,1
601,1319,1.0,1
602,8282,1.0,1
603,3042,1.0,1
604,4710,1.0,1
605,869,1.0,1
606,743,1.0,1
607,9805,1.0,1
608,1716,1.0,1
609,5204,1.0,1
610,1257,1.0,1
611,721,1.0,1
612,7051,1.0,1
613,4069,1.0,1
614,9574,1.0,1
615,9326,0.5,1
615,11051,0.5,0
616,1942,1.0,1
617,6131,1.0,1
618,10764,1.0,1
619,9449,1.0,1
620,6961,1.0,1
621,2637,1.0,1
622,55,1.0,1
623,10275,1.0,1
624,2354,0.5,1
624,595,0.5,0
625,5102,0.5,1
625,4099,0.5,0
626,7807,1.0,1
627,2544,1.0,1
628,5626,1.0,1
629,286,1.0,1
630,2093,1.0,1
631,2722,0.066667,1
631,10089,0.066667,0
631,325,0.066667,0
631,5086,0.066667,0
631,11253,0.066667,0
631,1460,0.066667,0
631,8090,0.066667,0
631,6371,0.066667,0
631,1040,0.066667,0
631,1316,0.066667,0
631,1497,0.066667,0
631,2250,0.066667,0
631,6486,0.066667,0
631,10725,0.066667,0
631,546,0.066667,0
632,421,1.0,1
633,2197,1.0,1
634,5525,1.0,1
635,4521,1.0,1
636,7729,1.0,1
637,876,1.0,1
638,6315,1.0,1
639,9016,1.0,1
640,5211,1.0,1
641,8558,0.333333,1
641,6217,0.333333,0
