game_key,steam_appid,name,type,is_free,required_age,initial_price,price_tier,controller_support,dlc_count,achievements_total,content_depth_tier,language_count,price_currency,is_premium
6171,1025960,BURIED STARS,game,0,0,469.0,300-499,1,1,46,high,5,THB,1
6172,1117670,GONNER2,game,0,0,275.0,200-299,1,1,17,medium,14,THB,0
6173,1124180,Rail Route,game,0,0,495.0,300-499,1,4,76,very high,13,THB,1
6174,1173200,Metal Unit,game,0,0,315.0,300-499,1,1,43,high,10,THB,0
6175,1199760,Light Fairytale Episode 2,game,0,0,220.0,200-299,1,1,22,medium,3,THB,0
6176,1205170,Super Magbot,game,0,0,476.0,300-499,1,2,32,high,11,THB,1
6177,1229260,Monster Girls and the Mysterious Adventure,game,0,0,279.0,200-299,0,0,0,low,4,THB,0
6178,1231840,Climber: Sky is the Limit,game,0,0,349.0,300-499,0,0,6,low,12,THB,0
6179,1232940,The Under Presents,game,0,0,209.0,200-299,0,0,0,low,1,THB,0
6180,1263070,Blightbound,game,0,0,400.0,300-499,0,1,27,high,10,THB,0
6181,1291210,Justice.exe,game,0,0,209.0,200-299,0,1,0,low,2,THB,0
6182,1323420,H-SNIPER: World War II,game,0,0,23.0,1-99,0,1,55,high,29,THB,0
6183,1346890,Motoride Rollercoaster VR,game,0,0,85.0,1-99,0,0,0,low,1,THB,0
6184,1375400,Ghosts 'n Goblins Resurrection,game,0,0,810.0,800+,1,1,31,high,8,THB,1
6185,1384320,Grapple Tournament,game,1,0,0.0,Free,0,1,0,low,1,FREE,0
6186,1399840,Neptunia Virtual Stars,game,0,0,469.0,300-499,0,42,40,very high,3,THB,1
6187,1486950,The Underground Man 2,game,0,0,69.0,1-99,1,0,40,high,2,THB,0
6188,1495380,Tricky Machines,game,0,0,115.0,100-199,0,0,0,low,1,THB,0
6189,1508280,2076 - Midway Multiverse,game,0,0,289.0,200-299,0,0,18,medium,2,THB,0
6190,1550260,BloodRayne Betrayal: Fresh Bites,game,0,0,289.0,200-299,1,0,24,medium,6,THB,0
6191,1585540,Snow-Swept Quest,game,0,0,189.0,100-199,0,0,0,low,3,THB,0
6192,1638330,Darius Cozmic Collection Arcade,game,0,0,809.0,800+,0,0,59,high,3,THB,1
6193,1639920,Embraced by Autumn,game,0,0,279.0,200-299,0,0,20,medium,1,THB,0
6194,1675920,Jewel Match Solitaire Summertime,game,0,0,189.0,100-199,0,0,24,medium,1,THB,0
6195,1858120,Generic RPG Idle,game,0,0,115.0,100-199,0,0,64,very high,1,THB,0
6196,1875560,Mare,game,0,0,289.0,200-299,0,0,9,low,6,THB,0
6197,1903530,Heart attack,game,0,0,23.0,1-99,0,0,3,low,1,THB,0
6198,1990740,Barro GT,game,0,0,115.0,100-199,0,2,21,high,102,THB,0
6199,1998530,Yoiyami Dancers: Twilight Danmaku Dancers,game,0,0,189.0,100-199,0,2,36,high,2,THB,0
6200,2073900,Magicians And Monsters,game,0,0,119.0,100-199,0,0,40,high,3,THB,0
6201,659540,Warsim: The Realm of Aslona,game,0,0,199.0,200-299,0,0,0,low,1,THB,0
6202,1684820,PEGGO!,game,0,0,85.0,1-99,0,0,0,low,1,THB,0
6203,773840,ExoCross,game,0,0,400.0,300-499,1,0,38,high,5,THB,0
6204,889910,Hell Pie,game,0,0,495.0,300-499,1,1,32,high,8,THB,1
6205,951820,Captain Bones : A Pirate's Journey,game,0,0,289.0,200-299,1,0,33,high,27,THB,0
6206,1055210,Retrograde Arena,game,1,0,0.0,Free,1,3,60,very high,6,FREE,0
6207,1071290,Wild West and Wizards,game,0,0,239.0,200-299,0,1,21,medium,1,THB,0
6208,1074170,SELF,game,0,0,99.0,100-199,1,1,15,medium,4,THB,0
6209,1119600,Help Will Come Tomorrow,game,0,0,369.0,300-499,0,0,26,medium,3,THB,0
6210,1204230,4th Generation Warfare,game,0,0,379.0,300-499,0,4,15,high,8,THB,1
